FT_ID,lodgeNumber,lodgeType,year,seasonIdent,trailLength
2326_FT102,2326,Pond,2017,Spring,25
2326_FT103,2326,Pond,2017,Spring,5
2326_FT104,2326,Pond,2017,Spring,6
2326_FT105,2326,Pond,2017,Spring,4
2326_FT108,2326,Pond,2017,Spring,6
2326_FT109,2326,Pond,2017,Spring,10
2326_FT110,2326,Pond,2017,Spring,7
2326_FT111,2326,Pond,2017,Spring,4
2326_FT113,2326,Pond,2017,Spring,6
2326_FT114,2326,Pond,2017,Spring,11
2326_FT116,2326,Pond,2017,Spring,11
2326_FT117,2326,Pond,2017,Spring,7
2326_FT118,2326,Pond,2017,Spring,8
2326_FT119,2326,Pond,2017,Spring,10
2326_FT120,2326,Pond,2017,Spring,7
2326_FT122,2326,Pond,2017,Spring,8
2326_FT123,2326,Pond,2017,Spring,7
2326_FT124,2326,Pond,2017,Spring,5
2326_FT125,2326,Pond,2017,Spring,11
2326_FT126,2326,Pond,2017,Spring,5
2326_FT127,2326,Pond,2017,Spring,16
2326_FT128,2326,Pond,2017,Spring,12
2326_FT129,2326,Pond,2017,Spring,6
2326_FT130,2326,Pond,2017,Spring,4
2326_FT131,2326,Pond,2017,Spring,6
2326_FT132,2326,Pond,2017,Spring,9
2326_FT133,2326,Pond,2017,Spring,4
2326_FT134,2326,Pond,2017,Fall,14
2326_FT135,2326,Pond,2017,Summer,9
2326_FT136,2326,Pond,2017,Fall,9
2326_FT138,2326,Pond,2017,Spring,12
2326_FT139,2326,Pond,2017,Spring,14
2326_FT140,2326,Pond,2017,Spring,6
2326_FT141,2326,Pond,2017,Spring,4
2326_FT142,2326,Pond,2017,Spring,6
2326_FT143,2326,Pond,2017,Spring,10
2326_FT144,2326,Pond,2017,Spring,11
2326_FT145,2326,Pond,2017,Spring,6
2326_FT146,2326,Pond,2017,Spring,5
2326_FT147,2326,Pond,2017,Spring,10
2326_FT148,2326,Pond,2017,Spring,9
2326_FT149,2326,Pond,2017,Spring,7
2326_FT150,2326,Pond,2017,Spring,8
2326_FT151,2326,Pond,2017,Spring,12
2326_FT152,2326,Pond,2017,Spring,15
2326_FT153,2326,Pond,2017,Spring,19
2326_FT155,2326,Pond,2017,Spring,28
2326_FT156,2326,Pond,2017,Spring,27
2326_FT157,2326,Pond,2017,Spring,28
2326_FT158,2326,Pond,2017,Spring,4
2326_FT159,2326,Pond,2017,Spring,28
2326_FT160,2326,Pond,2017,Spring,28
2326_FT161,2326,Pond,2017,Spring,12
2326_FT162,2326,Pond,2017,Spring,12
2326_FT164,2326,Pond,2017,Spring,21
2326_FT165,2326,Pond,2017,Spring,14
2326_FT166,2326,Pond,2017,Spring,10
2326_FT167,2326,Pond,2017,Spring,20
2326_FT168,2326,Pond,2017,Summer,9
2326_FT169,2326,Pond,2017,Summer,16
2326_FT170,2326,Pond,2017,Summer,12
2326_FT171,2326,Pond,2017,Fall,11
2303_FT01,2303,Pond,2017,Spring,10
2303_FT02,2303,Pond,2017,Spring,7
2303_FT03,2303,Pond,2017,Spring,10
2303_FT04,2303,Pond,2017,Spring,8
2303_FT05,2303,Pond,2017,Spring,8
2303_FT06,2303,Pond,2017,Spring,12
2303_FT07,2303,Pond,2017,Spring,5
2303_FT08,2303,Pond,2017,Spring,7
2303_FT09,2303,Pond,2017,Spring,7
2303_FT10,2303,Pond,2017,Spring,7
2303_FT11,2303,Pond,2017,Spring,5
2303_FT12,2303,Pond,2017,Fall,3
2303_FT13,2303,Pond,2017,Fall,10
2303_FT14,2303,Pond,2017,Summer,9
2303_FT19,2303,Pond,2017,Summer,14
2303_FT22,2303,Pond,2017,Fall,7
2303_FT25,2303,Pond,2017,Spring,8
2303_FT26,2303,Pond,2017,Spring,5
2303_FT27,2303,Pond,2017,Spring,3
2303_FT28,2303,Pond,2017,Spring,5
2303_FT29,2303,Pond,2017,Spring,7
2303_FT30,2303,Pond,2017,Spring,9
2303_FT31,2303,Pond,2017,Spring,6
2303_FT32,2303,Pond,2017,Spring,6
2303_FT33,2303,Pond,2017,Spring,8
2303_FT34,2303,Pond,2017,Spring,7
2303_FT35,2303,Pond,2017,Spring,4
2303_FT36,2303,Pond,2017,Spring,3
2303_FT37,2303,Pond,2017,Summer,6
2303_FT38,2303,Pond,2017,Summer,10
2303_FT39,2303,Pond,2017,Spring,17
2303_FT40,2303,Pond,2017,Fall,8
2303_FT41,2303,Pond,2017,Summer,5
2303_FT42,2303,Pond,2017,Summer,11
2303_FT43,2303,Pond,2017,Spring,6
2303_FT44,2303,Pond,2017,Spring,6
2303_FT45,2303,Pond,2017,Summer,11
2303_FT46,2303,Pond,2017,Fall,11
2303_FT47,2303,Pond,2017,Fall,10
2303_FT48,2303,Pond,2017,Fall,11
1019_FT02,1019,Lake,2017,Spring,6
1019_FT03,1019,Lake,2017,Spring,4
1019_FT04,1019,Lake,2017,Spring,5
1019_FT07,1019,Lake,2017,Spring,5
1019_FT08,1019,Lake,2017,Spring,8
1019_FT09,1019,Lake,2017,Spring,3
1019_FT10,1019,Lake,2017,Spring,4
1019_FT11,1019,Lake,2017,Spring,3
1019_FT12,1019,Lake,2017,Spring,5
1019_FT15,1019,Lake,2017,Summer,12
1019_FT16,1019,Lake,2017,Fall,14
1019_FT17,1019,Lake,2017,Fall,30
1019_FT18,1019,Lake,2017,Spring,12
1019_FT19,1019,Lake,2017,Spring,13
1019_FT20,1019,Lake,2017,Spring,11
1019_FT22,1019,Lake,2017,Spring,8
1019_FT98,1019,Lake,2017,Spring,15
1019_FT24,1019,Lake,2017,Summer,8
1019_FT28,1019,Lake,2017,Spring,5
1019_FT29,1019,Lake,2017,Summer,5
1019_FT33,1019,Lake,2017,Summer,14
1019_FT34,1019,Lake,2017,Spring,5
